"marker","cluster","pValue_BvsC1D1","mean(C1D1-B)","pValue_C1D1vsC2D1","mean(C2D1-C1D1)","pValue_BvsC2D2","mean(C2D1-B)"
"CD123","Th","0.012","0.004","0.25","0.003","0.016","0.009"
"CCR5","Th","0","0.121","0.461","0.036","0.016","0.136"
"CLEC9A","Th","0.077","-0.009","0.008","0.01","0.945","0.001"
"CD11C","Th","0","0.012","0.039","0.013","0.023","0.021"
"CD141","Th","0.493","-0.001","0.016","0.003","0.25","0.002"
"CD80","Th","0.104","-0.004","0.945","0.001","0.547","-0.002"
"TLR4","Th","0.05","-0.001","0.078","0.002","0.461","0"
"CD172AB","Th","0","0.019","0.195","0.017","0.008","0.033"
"CD40","Th","0.305","0","0.547","0.001","0.313","0.001"
"PDL2","Th","0.274","0.007","0.023","0.028","0.25","0.035"
"CCR7","Th","0.867","0.03","0.195","0.111","0.641","0.052"
"CD206","Th","0.614","0.001","0.148","0.02","0.547","0.002"
"CD33","Th","0.004","0.005","0.039","0.01","0.039","0.013"
"HLADR","Th","0","0.076","0.109","0.067","0.008","0.136"
"CD68","Th","0.138","0.001","0.016","0.003","0.008","0.003"
"CD15","Th","0.006","0.006","0.039","0.009","0.008","0.011"
"CXCR4","Th","0.045","0.141","0.055","0.247","0.039","0.282"
"CD116","Th","0.036","0.015","0.023","0.027","0.008","0.03"
"PDL1","Th","0","0.024","0.313","0.01","0.016","0.036"
"CD135","Th","0.552","-0.001","0.023","0.003","0.313","0.002"
"CD16","Th","0.327","-0.002","0.008","0.008","0.742","0.003"
"Arg1","Th","0.048","-0.008","0.945","0","0.383","-0.006"
